"Estado","Email","Nome"
"Acre","gabinete.saude@ac.gov.br","Rui Emanuel Rodrigues Arruda"
"Alagoas","gabinete@saude.al.gov.br","Carlos Christian Reis Teixeira"
"Amapá","gab_sesa@amapa.gov.br, gab_sesa@saude.ap.gov.br","Gastão Valente Calandrini de Azevêdo"
"Amazonas","ch_gabinete@saude.am.gov.br, secretario-coordenador@saude.am.gov.br, apoio_gabinete@saude.am.gov.br, apoio_executivo@saude.am.gov.br","Francisco Deodato Guimarães"
"Bahia","gasec.apoio@saude.ba.gov.br, sesab@saude.ba.gov.br","Fábio Vilas Boas"
"Ceará","gabsec@saude.ce.gov.br","Henrique Jorge Javi de Sousa"
"Distrito Federal","gab.ses@saude.df.gov.br, gabinete@gmail.com","Humberto Fonseca"
"Espírito Santo","gabinete@saude.es.gov.br","Ricardo de Oliveira"
"Goiás","gabineteses@hotmail.com","Leonardo Vilela"
"Maranhão","chefiadegabinete-ses@hotmail.com","Carlos Eduardo de Oliveira Lula"
"Mato Grosso do Sul","gabinete.ses@saude.ms.gov.br, gabses@saude.ms.gov.br","Carlos Alberto Moraes Coimbra"
"Mato Grosso","gabsaude@saude.mt.gov.br, gbses@ses.mt.gov.br","Luiz Antonio Vitório Soares"
"Minas Gerais","ses@saude.mg.gov.br","Luiz Sávio de Souza Cruz"
"Pará","gabinete.sec@sespa.pa.gov.br, chefia.gab@sespa.pa.gov.br, gabs@sespa.pa.gov.br, adjunto@sespa.pa.gov.br","Antonio Carlos Figueiredo Nard"
"Paraíba","gabinete@saude.pb.gov.br","Cláudia Luciana de Sousa Mascena Veras"
"Paraná","michele.caputo@sesa.pr.gov.br, maria.lopes@sesa.pr.gov.br, ritavillatori@sesa.pr.gov.br","Vitor Manuel Jesus Mateus"
"Pernambuco","adm.gab.ses@gmail.com","José Iran Costa Júnior"
"Piauí","sesapi@saude.pi.gov.br","Florentino Neto"
"Rio de Janeiro",NA,"Sérgio D’Abreu Gama"
"Rio Grande do Norte","gs-sesap@rn.gov.br, gs-sesap@rn.gov.br","Sidney Domingos Ferreira de Souza e Santos"
"Rio Grande do Sul","secretaria@saude.rs.gov.br","Francisco Antônio Zancan Paz"
"Rondônia","gab.sesauro@hotmail.com, gecomsesau@gmail.com","Luis Eduardo Maiorquin"
"Roraima","saude@saude.rr.gov.br, saude.saude.rr@hotmail.com","Antonio Leocádio Vasconcelos Filho"
"Santa Catarina","agenda@saude.sc.gov.br, secretario@saude.sc.gov.br","Acélio Casagrande"
"São Paulo","gabinetedosecretario@saude.sp.gov.br, secretarioadjunto@saude.sp.gov.br","Valberto de Oliveira Lima"
"Sergipe","gabinete@saude.se.gov.br","Marco Antônio Zargo"
"Tocantins","gabinete@saude.to.gov.br","Renato Jayme da Silva"
